Symbol,Issue_Name,Primary_Listing_Mkt
NBGCY,NATIONAL BK GREECE S A American Depositary Receipts - Unsponsored  Greece(GR ),U
NBGIF,National Bank of Greece SA Ordinary Shares,U
NBGLF,NBI GLOBAL REAL ASSETS INCOME ETF Exchange Traded Fund Canada(CA ),U
NBGV,"NewBridge Global Ventures, Inc. Common Stock",U
NBH,Neuberger Berman Municipal Fund Inc.,AMEX
NBHC,NATIONAL BANK HOLDINGS CORP.,NYSE
NBIAY,Nobia AB Unsponsored ADR (Sweden),U
NBIO,Nascent Biotech Inc. Common Stock,U
NBIX,"Neurocrine Biosciences, Inc. Common Stock",NASDAQ
NBKCF,NATIONAL BK CDA MONTREAL QUE 1ST PFD SHS SER 38 NVCC Preferred Stock Canada(CA ),U
NBLCF,Noble Corp New Common Shares (Cayman Islands),U
NBLRF,Nobel Corp New Tranche 2 Warrant Exp 02/04/2028 (Cayman Islands),U
NBLTF,Nobel Corp New Tranche 1 Warrant Exp 02/04/2028 (Cayman Islands),U
NBLWF,Nobel Corp New Tranche 3 Warrant Exp 02/04/2026 (Cayman Islands),U
NBMFF,NEO BATTERY MATLS LTD Common Shares,U
NBMLF,Noble Metal Group Inc Ordinary Shares,U
NBN,Northeast Bank Common Stock,NASDAQ
NBNKF,Nordea Bank ABP Ordinary Shares (Finland),U
NBO,Neuberger Berman New York Municipal Fund Inc.,AMEX
NBPVF,NB Private Equity Partners Limited Class A Shares (Guernsey),U
NBR,Nabors Industries Ltd.,NYSE
NBRFF,Nubian Resources Ltd Class A Ordinary Shares (Canada),U
NBRI,North Bay Resources Inc. Common Stock,U
NBRNF,NBrown Group Plc Ordinary Shares (United Kingdom),U
NBRV,Nabriva Therapeutics plc Ordinary Shares Ireland,NASDAQ
NBRY,"Newberry Specialty Bakers, Inc. Common Stock",U
NBSE,"NeuBase Therapeutics, Inc.  Common Stock",NASDAQ
NBST,Newbury Street Acquisition Corporation Common Stock,NASDAQ
NBSTU,Newbury Street Acquisition Corporation Units,NASDAQ
NBSTW,Newbury Street Acquisition Corporation Warrants,NASDAQ
NBTB,NBT Bancorp Inc. Common Stock,NASDAQ
NBTX,Nanobiotix S.A. American Depositary Shares,NASDAQ
NBVAF,Nubeva Technologies Ltd Ordinary Shares,U
NBVB,Nationwide Beverage Bottling Corp Common Stock,U
NBVG,Nutripure Beverages Inc New  Common Stock,U
NBW,Neuberger Berman California Municipal Fund Inc.,AMEX
NBXG,Neuberger Berman Next Generation Connectivity Fund Inc.,NYSE
NBY,"NovaBay Pharmaceuticals, Inc.",AMEX
NBYCF,Niobay Metals Inc Common Shares,U
NC,"NACCO Industries, Inc.",NYSE
NCA,Nuveen California Municipal Value Fund,NYSE
NCABF,NCAB Group AB Common Stock (Sweden),U
NCAP,"Northsight Capital, Inc. Common Stock",U
NCAUF,Newcore Gold Ltd Ordinary Shares,U
NCBDF,"Bandai Namco Holdings, Inc. Ordinary Shares (Korea South Republic of Korea)",U
NCBDY,Bandai Namco Hldgs Inc American Depositary Receipts - Unsponsored,U
NCBS,Nicolet Bankshares Inc. Common Stock,NASDAQ
NCCGF,"NCC GROUP PLC, MANCHESTER Ordinary Shares (United Kingdom)",U
NCDP,"Nicodrops, Inc. Common Stock",U
NCEN,Nacel Energy Corp. Common Stock,U
NCFFF,Northcliff Resources Ltd. COM (Canada),U
NCHEY,Nichirei Corp Unsponsored ADR (Japan),U
NCHVF,NUCHEV PTY LTD Ordinary Shares,U
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,NYSE
NCLTF,Nitori Holdings Co Ltd Ordinary Shares,U
NCLTY,Nitori Holdings Co Ltd Unsponsored ADR (Japan),U
NCMBF,Goldon Resources Ltd Ordinary Shares,U
NCMGF,Newcrest Mining Ltd Ord Ordinary Shares,U
NCMGY,Newcrest Mining Ltd Sponsored American Depositary Shares,U
NCMI,"National CineMedia, Inc. Common Stock",NASDAQ
NCNA,NuCana plc American Depositary Share,NASDAQ
NCNB,Northern California National Bank Common stock,U
NCNNF,48North Cannabis Corp Ordinary Shares (Canada),U
NCNO,"nCino, Inc. Common Stock",NASDAQ
NCPCF,Nickel Creek Platinum Corp. Common Shares,U
NCPL,NETCAPITAL INC Common Stock,U
NCPLL,NCP Litigation Trust OC-TR CTF,U
NCR,NCR Corporation,NYSE
NCRA,NOCERA INC Common Stock,U
NCRBF,Nippon Carbon Co Ltd Ordinary Shares (Japan),U
NCRE,New Centy Res Corp Common Stock,U
NCRRP,NCR Corp Pfd Conv Ser A 5.5%,U
NCSM,"NCS Multistage Holdings, Inc. Common Stock",NASDAQ
NCSYF,Nice Systems Ltd Ordinary Shares (Israel),U
NCTKF,Nabtesco Corp Tokyo Ordinary Shares (Japan),U
NCTKY,Nabtesco Corp American Depositary Shares (Unsponsored) (Japan),U
NCTW,"Nascent Wine Company, Inc. Common Stock",U
NCTY,The9 Limited American Depository Shares,NASDAQ
NCV,Virtus AllianzGI Convertible & Income Fund,NYSE
NCV PRA,Virtus AllianzGI Convertible & Income Fund 5.625% Series A Cumulative Preferred Shares,NYSE
NCWAF,Nichiwa Sangyo Co Ltd Ordinary Shares,U
NCXS,"NBC Bancorp, Inc. Common Stock",U
NCZ,Virtus AllianzGI Convertible & Income Fund II,NYSE
NCZ PRA,Virtus AllianzGI Convertible & Income Fund II 5.50% Series A Cumulative Preferred Shares,NYSE
NDAC,NightDragon Acquisition Corp. Class A Common stock,NASDAQ
NDACU,NightDragon Acquisition Corp. SCALE Units,NASDAQ
NDACW,NightDragon Acquisition Corp. Warrants to purchase Class A common stock,NASDAQ
NDAQ,"Nasdaq, Inc. Common Stock",NASDAQ
NDBKF,Nedbank Group Limited Ordinary Shares (South Africa),U
NDBKY,Nedbank Group Limited Sponsored ADR (South Africa),U
NDCVF,NORDIC SEMICONDUCTOR ASA Ordinary Shares (Norway),U
NDDG,Nudg Media Inc. Common Stock,U
NDDLF,Nederlandsche Apparatenfabriek Nedap Ordinary Shares (Netherlands),U
